trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
1994-01-04,-0.003949543,0.0003289782,0.0038265149,0.0103743883,-0.004755341,-0.014706285,0.000285,0.0028831889,0.0053699833,0.0086785168,-0.007092639,-0.01948125
1994-01-05,0.0071662984,0.0118497859,0.0126785256,0.009253646,-0.020330273,-0.006644947,0.000285,0.0117804333,0.0137506333,0.0122080882,-0.017224923,-0.000044583
1994-01-06,0.0285373965,0.012045588,0.00572167,-0.000345748,-0.002358487,0.0086422811,0.000285,0.0086638556,0.0017599833,-0.004892769,-0.004766702,-0.00083825
1994-01-07,-0.004087474,0.0096663174,0.0051752091,-0.02768281,0.0038460935,0.0044104897,0.000285,0.011542713,0.0079849583,-0.028359353,0.0002269615,0.0017324167
1994-01-10,0.002382263,0.0107744756,0.0188428448,-0.000998606,-0.031611332,-0.03187062,0.000285,0.0090543259,0.0147875333,0.0015114874,-0.025590067,-0.010480167
1994-01-11,-0.012748443,-0.003695012,-0.005611856,0.0120663869,0.0078136241,0.0039498942,0.000285,-0.004198585,-0.002248317,0.0081111345,0.0021701683,-0.002963833
1994-01-12,-0.00532458,0.0033435081,0.0034265302,0.0027932568,0.0027379609,-0.002812077,0.000285,0.0077451259,0.0044159167,-0.002070122,-0.003284462,-0.012984667
1994-01-13,-0.000292039,0.0033351337,0.0101294551,-0.008760127,-0.007989817,-0.008682731,0.000285,0.0024004037,0.0101466333,-0.004905887,-0.005778543,0.0007049167
1994-01-14,-0.033699757,-0.023247514,-0.026024276,0.0077089977,0.0378226903,0.0147787303,0.000285,-0.021368741,-0.018211667,0.007946021,0.031944125,0.0047684167
1994-01-17,-0.002632096,0.015485394,0.0212631978,0.0014714147,-0.02534811,-0.019620874,0.000285,0.0186124741,0.0189917,0.0004768866,-0.023375149,-0.006184667
1994-01-18,0.0041683751,-0.001805932,-0.031923187,0.0272670126,0.0190033342,-0.000145877,0.000285,-0.009840598,-0.031681108,0.0185023445,0.0201943942,-0.000308
1994-01-19,-0.026504033,-0.002839889,-0.000668392,0.0113288233,0.0024273839,0.0053719955,0.000285,-0.0035587,0.0015701167,0.0087969496,-0.00009076,0.0007435
1994-01-20,-0.016310006,0.0087411161,0.0093619627,0.0055059633,-0.014238444,-0.004672316,0.000285,0.0053196333,0.00434505,0.0039126008,-0.012292966,-0.0010185
1994-01-21,0.0014379278,0.0059039057,0.0093236217,-0.01036117,-0.006422665,0.0032148945,0.000285,0.0088417833,0.0114154583,-0.007755492,-0.008736803,0.0054566667
